epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,15,,,0.0625,2.44732666015625
0,0.004999999888241291,15,4.697613716125488,,,
1,,31,,,0.1875,2.5321044921875
1,0.004999999888241291,31,2.253335952758789,,,
2,,47,,,0.125,2.293701171875
2,0.004999999888241291,47,3.982342481613159,,,
3,,49,,2.28857421875,,
3,,63,,,0.125,2.1888427734375
3,0.004999999888241291,63,2.2562599182128906,,,
4,,79,,,0.0625,2.16241455078125
4,0.004999999888241291,79,2.2082958221435547,,,
5,,95,,,0.125,2.132080078125
5,0.004999999888241291,95,2.1630210876464844,,,
6,,99,,2.20831298828125,,
6,,111,,,0.0,2.1226806640625
6,0.004999999888241291,111,2.1564865112304688,,,
7,,127,,,0.0625,2.1025390625
7,0.004999999888241291,127,2.128337860107422,,,
8,,143,,,0.1875,2.0748291015625
8,0.004999999888241291,143,2.1522388458251953,,,
9,,149,,2.134033203125,,
9,,159,,,0.25,2.05120849609375
9,0.004999999888241291,159,2.125896453857422,,,
10,,175,,,0.0,2.10302734375
10,0.0044999998062849045,175,2.132587432861328,,,
11,,191,,,0.0625,2.10028076171875
11,0.0044999998062849045,191,2.1347427368164062,,,
12,,199,,2.54437255859375,,
12,,207,,,0.1875,2.1099853515625
12,0.0044999998062849045,207,2.128448486328125,,,
13,,223,,,0.25,2.10479736328125
13,0.0044999998062849045,223,2.1425399780273438,,,
14,,239,,,0.0625,2.10284423828125
14,0.0044999998062849045,239,2.093494415283203,,,
15,,249,,2.11566162109375,,
15,,255,,,0.0625,2.0926513671875
15,0.0044999998062849045,255,2.1048011779785156,,,
16,,271,,,0.1875,2.1038818359375
16,0.0044999998062849045,271,2.1169281005859375,,,
17,,287,,,0.1875,2.07574462890625
17,0.0044999998062849045,287,2.0931854248046875,,,
18,,299,,2.05743408203125,,
18,,303,,,0.125,2.0927734375
18,0.0044999998062849045,303,2.1032562255859375,,,
19,,319,,,0.1875,2.07568359375
19,0.0044999998062849045,319,2.0961837768554688,,,
